"Product Id","Product Name","Active (Product)","Product Family","N&ET Product","N&ET Family","Business Unit"
01tN5000007Sp4O,"SPEOS FOR CREO PARAMETRIC ENTERPRISE - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4P,"SPEOS FOR CREO PARAMETRIC ENTERPRISE - REINSTATEMENT FEE",1,SPEOS,0,,EBU
01tN5000007Sp4Q,"SPEOS FOR CREO PARAMETRIC ENTERPRISE - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4R,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4S,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR - GLOBAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4T,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR - LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4U,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4V,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4W,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR - REINSTATEMENT FEE",1,SPEOS,0,,EBU
01tN5000007Sp4X,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4Y,"SPEOS FOR CREO PARAMETRIC PREMIUM SENSOR",1,SPEOS,0,,EBU
01tN5000007Sp4Z,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4a,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION - GLOBAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4b,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION - LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4c,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4d,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4e,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION - REINSTATEMENT FEE",1,SPEOS,0,,EBU
01tN5000007Sp4f,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4g,"SPEOS FOR CREO PARAMETRIC PREMIUM VISUALIZATION",1,SPEOS,0,,EBU
01tN5000007Sp4h,"SPEOS FOR CREO PARAMETRIC PRO - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4i,"SPEOS FOR CREO PARAMETRIC PRO - GLOBAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4j,"SPEOS FOR CREO PARAMETRIC PRO - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4k,"SPEOS FOR CREO PARAMETRIC PRO - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4l,"SPEOS FOR CREO PARAMETRIC PRO - REINSTATEMENT FEE",1,SPEOS,0,,EBU
01tN5000007Sp4m,"SPEOS FOR CREO PARAMETRIC PRO - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4n,"SPEOS FOR NX ENTERPRISE - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4o,"SPEOS FOR NX PRO - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4p,"SPEOS FOR SOLIDWORKS ENTERPRISE - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4q,"SPEOS FOR SOLIDWORKS ENTERPRISE - GLOBAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4r,"SPEOS FOR SOLIDWORKS ENTERPRISE - PAID UP",1,SPEOS,0,,EBU
01tN5000007Sp4s,"SPEOS FOR SOLIDWORKS ENTERPRISE - REGIONAL WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4t,"SPEOS FOR SOLIDWORKS ENTERPRISE - SITE-BASED WAN FEE",1,SPEOS,0,,EBU
01tN5000007Sp4u,"SPEOS FOR SOLIDWORKS FAR INFRARED EXTENSION - GLOBAL LEASE",1,SPEOS,0,,EBU
01tN5000007Sp4v,"SPEOS FOR SOLIDWORKS FAR INFRARED EXTENSION - GLOBAL WAN FEE",1,SPEOS,0,,EBU
